"(For Alias / PaymentProfile)","(Pour Alias / Profil de paiement)"
"* Required Fields","* Champs requis"
"-- No Status Change --","-- Pas de changement de statut --"
"3D Secure","3D Secure"
"3D Secure Authentication","Authentification 3D Secure"
"3D Secure failed","3D Secure a échoué."
"3D Secure sucess","3D Secure avec succès"
"<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Le format doit être '!format' où le 'MM' veut indiquer le numéro du mois et 'AA' le numéro de l'année.</span>"
"A authorized transaction cannot be authorized again.","Une transaction autorisée ne peut pas être autorisée à nouveau."
"A authorized transaction cannot be marked as failed.","Une transaction autorisée ne peut pas être marquée comme échouée"
"A cancelled transaction cannot be authorized.","Une transaction annulée ne peut pas être autorisée."
"A cancelled transaction cannot be cancelled again.","Une transaction annulée ne peut pas être annulée à nouveau."
"A cancelled transaction cannot be captured.","Une transaction annulée ne peut pas être comptabilisée"
"A cancelled transaction cannot be marked as failed.","Une transaction annulée ne peut pas être marquée comme échouée."
"A cancelled transaction cannot be refunded.","Une autorisation annulée ne peut pas être remboursée."
"A captured transaction cannot be authorized.","Une transaction comptabilisée ne peut pas être autorisée."
"A captured transaction cannot be cancelled.","Une transaction comptabilisée ne peut pas être annulée."
"A captured transaction cannot be marked as failed.","Une transaction comptabilisée ne peut pas être marquée comme échouée"
"A failed authorization cannot be authorized.","Une transaction échouée ne peut pas être autorisée."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Certains modes de paiement ne sont pas disponible pour des pays spécifiques. Définissez l'instant dans lequel vous voulez que le contrôle de disponibilité soit fait. Nous recommendons séléctionner 'Pendant l'autorisation'."
"A refund was added over !amount.","Un remboursement de !amount a été ajouté."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Une transaction peut être incertaine si le paiement n'est pas garanti. Par example, si la carte de crédit ne fait pas partie du processus 3D secure."
"About","À propos de nous"
"Account Holder Name","Nom du titulaire du compte"
"Account owner name.","Nom du titulaire du compte"
"Action","Action"
"Actions","Actions"
"Activate","Activé"
"Active","Active"
"Additional Information","Informations complémentaires"
"Adjust Qty","Ajuster la quantité"
"Adjustment Discount","Ajustement des rabais"
"Adjustment Fee","Frais d'ajustement"
"After payment selection","Après la sélection du mode de paiement"
"Ajax authorization not supported.","Autorisation Ajax pas possible."
"Alias","Alias"
"Alias For Display","Alias pour l'affichage"
"Alias information retrievel failed with error code:","Recherche d'information alias a échoué avec le code d'erreur:"
"Alias information retrievel failed with error code: "" . $cardInfos['code'] . "".","La récupération de l'information Alias a échoué avec le code d'erreur: ' . $cardInfos['code'] . '."
"All Customers","Tous les clients"
"Allowed Currencies","Devises autorisés"
"Allowed currencies for this payment method","Devises autorisées pour cette méthode de paiement"
"Already registered?","Déjà inscrit?"
"Always Checkout as Guest","Toujours commander en tant qu'invité"
"American Express","American Express"
"Amount","Montant"
"Amount Incl. Tax","Montant Incl. Impôt"
"Api access passcode","Access Passcode API"
"Api access passcode (Alias)","Accès Passcode API (Alias)"
"Api access passcode (Alias) of the live account.","Code d'accès API (Alias) pour le compte Live."
"Api access passcode (Alias) of the test/sandbox account","Code d'accès pour l'accès API (Alias) du compte test/sandbox"
"Api access passcode (Live)","API Access Passcode (Live)"
"Api access passcode of the test/sandbox account","Mot de passe pour l'accès du compte API test/sandbox"
"Are you sure you want to cancel this order?","Êtes-vous sûr d'annuler cette commande?"
"Author","Auteur"
"Authorization Amount","Montant de l'autorisation"
"Authorization Failed","Autorisation a échouée"
"Authorization Method","Mode d'autorisation"
"Authorization is uncertain.","Autorisation est incertaine"
"Authorized Status","Statut autorisé"
"Await Notification","Attendre la notification"
"Awaiting confirmation","En attente de confirmation"
"BIC","BIC"
"Bad signature format.","Format de signature incorrect"
"Bank Location","Lieu de la banque"
"Bank Name","Nom de la banque"
"Bank account number","Número du compte bancaire"
"Bank code number","Numéro de code banquaire"
"Before payment selection","Avant la sélection du mode de paiement"
"Billing Address","Adresse de facturation"
"Billing Information","Information de facturation"
"Billing address","Billing address"
"Brand Name","Nom de marque"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","En configurant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","En réglant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin. La différence entre «order» et «autorisation» est que sur «order» seulement une vérification sera faite, mais pas vraiment une réservation sur la carte."
"CVC Code","Code de sécurité (CVC)"
"Cancel","Annuler"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Annuler les commandes en attentes si l'article n'est pas en stock"
"Cancel status","Statut d'annulation"
"Canceled BeanstreamCw","BeanstreamCw Annulé"
"Canceling of this payment not possible!","L'annulation de ce paiement n'est pas possible!"
"Cancelled Status","Statut Annulé"
"Cannot update item quantity.","Vous ne pouvez pas mettre à jour la quantité de l'article."
"Capture (Don't Close)","Capture (Don't Close)"
"Capture Amount","Montant de comptabilisation"
"Capture ID","ID de comptabilisation"
"Capture amount","Montant comptabilisé"
"Capture information","Information de comptabilisation"
"Capture status","Statut de combtabilisation"
"Captured Amount","Montant comptabilisé"
"Captured Status","Statut de capture"
"Captures","Comptabilisations"
"Captures & Refunds","Captures et Remboursements"
"Capturing","Comptabiliser"
"Card Expiration","Date d'expiration de la carte"
"Card Holder Name","Titulaire de la carte"
"Card Number","Numéro de la carte"
"Carrier Title","Titre du transporteur"
"Charging Alias: Unkown error","Charge Alias : Erreur inconnue"
